ID,Name,Type,Suitability,Height,Width,Position,Hardiness,Link,
,Miscanthus sinensis 'Gracillimus',Grass,wet;specimen,,,,,,
,Nepeta faassenii,Perennial,wet;dry;border,,,,,,
,Polystichum setiferum,Perennial,wet;shade,,,,,,
,Primula vulgaris,Perennial,ground cover;wet;dry;exposed;shade,,,,,,
,Pseudosasa japonica,Perennial,specimen,,,,,,
,Rudbeckia fulgida Goldsturm,Perennial,dry;border,,,,,,
,Salvia officinalis 'Purpurascens',Perennial,dry;border,,,,,,
,Salvia officinalis 'East Friesland',Perennial,dry;border,,,,,,
,Sasa palmata,Perennial,wet;dry;border,,,,,,
,Sedum 'Autumn Joy',Perennial,wet;dry;exposed;border,,,,,,
,Stachys byzantina,Perennial,ground cover;wet;dry;border,,,,,,
,Stipa gigantea,Grass,dry;border;specimen,,,,,,
,Stipa tenuissima,Grass,dry;border;specimen,,,,,,
,Tellima grandiflora,Perennial,ground cover;wet;dry;shade,,,,,,
,Tiarella cordifolia,Perennial,ground cover;wet;dry;shade,,,,,,
,Acer campestre,Tree,motorway;hedging;native;shade;specimen tree;lime tolerant,,,,,,
,Acer platanoides,Tree,wet;dry;street tree;specimen tree,,,,,,
,Acer platanoides 'Crimson King',Tree,wet;dry;street tree;specimen tree,,,,,,
,Acer platanoides 'Emerald Queen',Tree,wet;dry;street tree;specimen tree,,,,,,
,Acer pseudoplatanus 'Erectum',Tree,wet;dry;coastal;exposed;poor soil;specimen tree,,,,,,
,Aesculus hippocastanum 'Baumannii',Tree,street tree;specimen tree,,,,,,
,Alnus cordata,Tree,wet;exposed;poor soil;specimen tree;lime tolerant,,,,,,
,Alnus glutinosa,Tree,wet;exposed;poor soil;native;lime tolerant,,,,,,
,Alnus incana,Tree,wet;exposed;poor soil;native;lime tolerant,,,,,,
,Betula pendula,Tree,wet;dry;native;specimen tree,,,,,,
,Betula utilis jacquemontii,Tree,wet;dry;specimen tree,,,,,,
,Carpinus betulus,Tree,hedging;dry;specimen tree,,,,,,
,Carpinus betulus 'Fastigiata',Tree,dry;street tree;specimen tree,,,,,,
,Castanea sativa,Tree,dry,,,,,,
,Corylus avellana,Tree,motorway;hedging;wet;dry;poor soil;native,,,,,,
,Corylus colurna,Tree,street tree;specimen tree,,,,,,
,Crataegus laevigata 'Paul's Scarlet',Tree,dry;poor soil;street tree;specimen tree,,,,,,
,Crataegus monogyna,Tree,motorway;hedging;wet;dry;exposed;poor soil;native,,,,,,
,Crataegus prunifolia,Tree,dry;exposed;poor soil;specimen tree,,,,,,
