ID,Name,Type,Ground Cover,Motorway,Hedging,Wet,Dry,Coastal,Exposed,Poor soil,Native,Evergreen,Border_H,Specimen_H,Shade,Street_T,Specimen_T,Lime_T,Score
,Photinia x fraseri 'Red Robin',Shrub,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3
,Potentilla fruticosa & cultivars,Shrub,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
,Prunus laurocerasus & cultivars,Shrub,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5
,Prunus lusitanica,Shrub,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4
,Pyracantha coccinea & cultivars,Shrub,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4
,Ribes sanguineum & cultivars,Shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rosa rugosa,Shrub,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3
,Rosmarinus officinalis  'Miss Jessopp's Upright',Shrub,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3
,Rubus 'Betty Ashburner',Shrub,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
,Rubus tricolor,Shrub,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4
,Sambucus nigra 'Aurea',Shrub,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
,Santolina chamaecyparissus,Shrub,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3
,Sarcococca confusa,Shrub,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,Skimmia japonica 'Rubella',Shrub,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,Spiraea arguta,Shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Spiraea japonica 'Firelight',Shrub,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,Spiraea 'Goldflame',Shrub,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,Symphoricarpos chenaultii 'Hancock',Shrub,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
,Ulex europaeu,Shrub,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,6
,Viburnum davidii,Shrub,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
,Viburnum opulus,Shrub,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
,Viburnum tinus and cultivars,Shrub,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
,Vinca major 'Variegata',Shrub,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
,Vinca minor alba,Shrub,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
,Vinca minor 'Argenteovariegata',Shrub,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
,Weigela florida 'Variegata',Shrub,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Acanthus spinosus,Perennial,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,6
,Achillia millefolium 'Gold Plate',Perennial,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,4
,Ajuga reptans & varieties,Perennial,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
,Alchemilla mollis,Perennial,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,5
,Allium sp,Perennial,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3
,Anemanthele lessonia,Perennial,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3
,Anemone hybrida 'Honorine Jobert',Perennial,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
,Artemisia 'Powis Castle',Perennial,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
,Asters sp,Perennial,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,5
,Astrantia major,Perennial,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,4
,Bergenia cordifolia & varieties,Perennial,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3
,Calamagrostis acutiflora 'Karl Foerster',Perennial,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,Carex oshimensis 'Evergold',Perennial,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
,Crocosmia Lucifer,Perennial,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
,Digitalis purpurea,Perennial,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
,Dryopteris felix-mas,Perennial,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
,Echinacea purpurea,Perennial,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
,Euphorbia amygdaloides 'Purpurea',Perennial,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
,Euphorbia amygdaloides 'Robbiae',Perennial,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4
,Euphorbia griffithii 'Fireglow',Perennial,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
,Euphorbia martinii,Perennial,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
,Euphorbia wulfenii,Perennial,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3
,Fargesia murieliae 'Simba',Grass,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
,Festuca glauca & varieties,Perennial,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3
,Filipendula ulmaria,Perennial,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,5
,Geranium endressii 'Wargrave Pink',Perennial,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,5
,Geranium macrorrhizum,Perennial,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,5
,Helleborus orientalis,Perennial,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
,Hemerocallis Stella de Oro',Perennial,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
,Heuchera micrantha 'Palace Purple',Perennial,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4
,Hosta sp & cultivars,Perennial,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,7
,Iris foetidissima,Perennial,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
,Iris pallida 'Argentea Variegata',Perennial,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
,Lamium maculatum 'Beacon Silver',Perennial,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
,Liriope muscari,Perennial,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
,Miscanthus sinensis 'Gracillimus',Grass,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
,Nepeta faassenii,Perennial,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
,Polystichum setiferum,Perennial,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
,Primula vulgaris,Perennial,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,5
,Pseudosasa japonica,Perennial,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,Rudbeckia fulgida Goldsturm,Perennial,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
